product_names,product_prices,category
"Infinix SMART 7 (Azure Blue, 64 GB)","₹6,799
",mobiles
"Infinix SMART 7 (Emerald Green, 64 GB)","₹6,799
",mobiles
"MOTOROLA g54 5G (Mint Green, 128 GB)","₹13,999",mobiles
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,770",mobiles
"MOTOROLA e13 (Creamy White, 64 GB)","₹6,499
",mobiles
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹8,299
",mobiles
"Infinix HOT 30i (Diamond White, 128 GB)","₹8,299
",mobiles
"Infinix Note 30 5G (Sunset Gold, 128 GB)","₹13,999",mobiles
"Infinix SMART 7 (Azure Blue, 128 GB)","₹6,699
",mobiles
"Infinix SMART 7 (Night Black, 64 GB)","₹6,799
",mobiles
"POCO M6 Pro 5G (Forest Green, 128 GB)","₹11,999",mobiles
"Infinix HOT 30i (Glacier Blue, 64 GB)","₹7,499
",mobiles
"realme C51 (Mint Green, 64 GB)","₹7,999
",mobiles
"realme C51 (Carbon Black, 64 GB)","₹7,999
",mobiles
"Infinix HOT 30i (Mirror Black, 128 GB)","₹8,299
",mobiles
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹21,989",mobiles
"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)","₹18,999",mobiles
"Infinix HOT 30i (Diamond White, 64 GB)","₹7,499
",mobiles
"Infinix HOT 30i (Mirror Black, 64 GB)","₹7,499
",mobiles
"Infinix HOT 30i (Marigold, 64 GB)","₹7,499
",mobiles
"POCO X5 Pro 5G (Yellow, 256 GB)","₹19,499",mobiles
"realme 11x 5G (Purple Dawn, 128 GB)","₹15,999",mobiles
"POCO C55 (Cool Blue, 64 GB)","₹6,799
",mobiles
"realme 11x 5G (Purple Dawn, 128 GB)","₹13,499",mobiles
"realme 11x 5G (Midnight Black, 128 GB)","₹13,499",mobiles
"realme 11 5G (Glory Gold, 128 GB)","₹16,999",mobiles
"realme 11 5G (Glory Black, 128 GB)","₹16,999",mobiles
"POCO C55 (Forest Green, 64 GB)","₹6,799
",mobiles
"MOTOROLA e13 (Aurora Green, 128 GB)","₹7,499
",mobiles
"POCO X5 5G (Jaguar Black, 256 GB)","₹14,999",mobiles
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹25,999",mobiles
"realme 11 Pro+ 5G (Astral Black, 256 GB)","₹25,999",mobiles
"realme 11 5G (Glory Black, 256 GB)","₹19,999",mobiles
"realme 11 5G (Glory Gold, 256 GB)","₹19,999",mobiles
"realme 11x 5G (Midnight Black, 128 GB)","₹15,999",mobiles
"APPLE iPhone 14 (Midnight, 256 GB)","₹67,999",mobiles
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹25,999",mobiles
"realme C53 (Champion Gold, 128 GB)","₹10,999",mobiles
"realme C53 (Champion Black, 128 GB)","₹10,999",mobiles
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹11,490",mobiles
"realme C53 (Champion Black, 64 GB)","₹10,499",mobiles
"realme C53 (Champion Gold, 64 GB)","₹10,499",mobiles
"REDMI 12 (Jade Black, 128 GB)","₹10,499",mobiles
"APPLE iPhone 14 (Starlight, 256 GB)","₹66,999",mobiles
"POCO X5 5G (Supernova Green, 128 GB)","₹13,999",mobiles
"realme C53 (Champion Gold, 128 GB)","₹9,999
",mobiles
"realme C53 (Champion Black, 128 GB)","₹9,999
",mobiles
"APPLE iPhone 14 (Blue, 256 GB)","₹66,999",mobiles
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,490",mobiles
"OPPO Reno10 5G (Silvery Grey, 256 GB)","₹32,999",mobiles
"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)","₹20,999",mobiles
"vivo T2 5G (Nitro Blaze, 128 GB)","₹19,999",mobiles
"vivo T2 5G (Velocity Wave, 128 GB)","₹17,999",mobiles
"vivo T2 5G (Nitro Blaze, 128 GB)","₹17,999",mobiles
"vivo T2 5G (Velocity Wave, 128 GB)","₹19,999",mobiles
"MOTOROLA Edge 40 (Eclipse Black, 256 GB)","₹26,999",mobiles
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹20,999",mobiles
"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)","₹22,999",mobiles
"POCO M6 Pro 5G (Forest Green, 128 GB)","₹10,999",mobiles
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,369
",mobiles
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹10,999",mobiles
"POCO M6 Pro 5G (Power Black, 128 GB)","₹10,999",mobiles
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,369
",mobiles
"REDMI 12C (Mint Green, 128 GB)","₹8,686
",mobiles
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹13,254",mobiles
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹27,999",mobiles
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,499
",mobiles
"POCO M6 Pro 5G (Power Black, 128 GB)","₹10,999",mobiles
"REDMI Note 12 5G (Mystique Blue, 128 GB)","₹16,999",mobiles
